x,y,nominal_x,nominal_y
21.0,12.000092,21.0,33.049
21.0,12.000092,21.0,33.018
21.0,12.000092,21.0,32.987
21.0,12.000092,21.0,32.956
21.0,12.000092,21.0,32.925
21.0,12.000092,21.0,32.894
21.0,12.000092,21.0,32.863
21.0,12.000092,21.0,32.832
21.0,12.000092,21.0,32.801
21.0,12.000092,21.0,32.769999999999996
21.0,12.000092,21.0,32.739000000000004
21.0,12.000092,21.0,32.708
21.0,12.000092,21.0,32.677
21.0,12.000092,21.0,32.646
21.0,12.000092,21.0,32.615
21.0,12.000092,21.0,32.584
21.0,12.000092,21.0,32.553
21.0,12.000092,21.0,32.522
21.0,12.000092,21.0,32.491
21.0,12.000092,21.0,32.46
21.0,12.000092,21.0,32.429
21.0,12.000092,21.0,32.397999999999996
21.0,12.000092,21.0,32.367000000000004
21.0,12.000092,21.0,32.336
21.0,12.000092,21.0,32.305
21.0,12.000092,21.0,32.274
21.0,12.000092,21.0,32.243
21.0,12.000092,21.0,32.212
21.0,12.000092,21.0,32.181
21.0,12.000092,21.0,32.15
21.0,12.000092,21.0,32.119
21.0,12.000092,21.0,32.088
21.0,12.000092,21.0,32.057
21.0,12.000092,21.0,32.025999999999996
21.0,12.000092,21.0,31.994999999999997
21.0,12.000092,21.0,31.964
21.0,12.000092,21.0,31.933
21.0,12.000092,21.0,31.902
21.0,12.000092,21.0,31.871000000000002
21.0,12.000092,21.0,31.84
21.0,12.000092,21.0,31.808999999999997
21.0,12.000092,21.0,31.778
21.0,12.000092,21.0,31.747
21.0,12.000092,21.0,31.716
21.0,12.000092,21.0,31.685000000000002
21.0,12.000092,21.0,31.654
21.0,12.000092,21.0,31.622999999999998
21.0,12.000092,21.0,31.592
21.0,12.000092,21.0,31.561
21.0,12.000092,21.0,31.53
21.0,12.000092,21.0,31.499000000000002
21.0,12.000092,21.0,31.468
21.0,12.000092,21.0,31.436999999999998
21.0,12.000092,21.0,31.406
21.0,12.000092,21.0,31.375
21.0,12.000092,21.0,31.344
21.0,12.000092,21.0,31.313000000000002
21.0,12.000092,21.0,31.282
21.0,12.000092,21.0,31.250999999999998
21.0,12.000092,21.0,31.22
21.0,12.000092,21.0,31.189
21.0,12.000092,21.0,31.158
21.0,12.000092,21.0,31.127000000000002
21.0,12.000092,21.0,31.096
